source,output,assigned_rank,source_rank_token,removed_ranges,chains,removed_atom_records,removed_residue_count,removed_residues,retained_coordinate_records
/home/wms/AF2-test/AF2-CatGraph-test5/data/AqTMK/01_af2/2PBR.25.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/AqTMK/01_af2_new/AqTMK.AF2rank26.pdb,26,,0,A,0,0,,1578
/home/wms/AF2-test/AF2-CatGraph-test5/data/AqTMK/01_af2/2PBR.26.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/AqTMK/01_af2_new/AqTMK.AF2rank27.pdb,27,,0,A,0,0,,1578
/home/wms/AF2-test/AF2-CatGraph-test5/data/AqTMK/01_af2/2PBR.27.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/AqTMK/01_af2_new/AqTMK.AF2rank28.pdb,28,,0,A,0,0,,1578
/home/wms/AF2-test/AF2-CatGraph-test5/data/AqTMK/01_af2/2PBR.28.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/AqTMK/01_af2_new/AqTMK.AF2rank29.pdb,29,,0,A,0,0,,1578
/home/wms/AF2-test/AF2-CatGraph-test5/data/AqTMK/01_af2/2PBR.29.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/AqTMK/01_af2_new/AqTMK.AF2rank30.pdb,30,,0,A,0,0,,1578
/home/wms/AF2-test/AF2-CatGraph-test5/data/AqTMK/01_af2/2PBR.30.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/AqTMK/01_af2_new/AqTMK.AF2rank31.pdb,31,,0,A,0,0,,1578
/home/wms/AF2-test/AF2-CatGraph-test5/data/AqTMK/01_af2/2PBR.31.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/AqTMK/01_af2_new/AqTMK.AF2rank32.pdb,32,,0,A,0,0,,1578
/home/wms/AF2-test/AF2-CatGraph-test5/data/AqTMK/01_af2/2PBR.32.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/AqTMK/01_af2_new/AqTMK.AF2rank33.pdb,33,,0,A,0,0,,1578
/home/wms/AF2-test/AF2-CatGraph-test5/data/AqTMK/01_af2/2PBR.33.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/AqTMK/01_af2_new/AqTMK.AF2rank34.pdb,34,,0,A,0,0,,1578
/home/wms/AF2-test/AF2-CatGraph-test5/data/AqTMK/01_af2/2PBR.34.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/AqTMK/01_af2_new/AqTMK.AF2rank35.pdb,35,,0,A,0,0,,1578
/home/wms/AF2-test/AF2-CatGraph-test5/data/AqTMK/01_af2/2PBR.35.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/AqTMK/01_af2_new/AqTMK.AF2rank36.pdb,36,,0,A,0,0,,1578
/home/wms/AF2-test/AF2-CatGraph-test5/data/AqTMK/01_af2/2PBR.36.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/AqTMK/01_af2_new/AqTMK.AF2rank37.pdb,37,,0,A,0,0,,1578
/home/wms/AF2-test/AF2-CatGraph-test5/data/AqTMK/01_af2/2PBR.37.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/AqTMK/01_af2_new/AqTMK.AF2rank38.pdb,38,,0,A,0,0,,1578
/home/wms/AF2-test/AF2-CatGraph-test5/data/AqTMK/01_af2/2PBR.38.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/AqTMK/01_af2_new/AqTMK.AF2rank39.pdb,39,,0,A,0,0,,1578
/home/wms/AF2-test/AF2-CatGraph-test5/data/AqTMK/01_af2/2PBR.39.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/AqTMK/01_af2_new/AqTMK.AF2rank40.pdb,40,,0,A,0,0,,1578
/home/wms/AF2-test/AF2-CatGraph-test5/data/AqTMK/01_af2/2PBR.40.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/AqTMK/01_af2_new/AqTMK.AF2rank41.pdb,41,,0,A,0,0,,1578
/home/wms/AF2-test/AF2-CatGraph-test5/data/AqTMK/01_af2/2PBR.41.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/AqTMK/01_af2_new/AqTMK.AF2rank42.pdb,42,,0,A,0,0,,1578
/home/wms/AF2-test/AF2-CatGraph-test5/data/AqTMK/01_af2/2PBR.42.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/AqTMK/01_af2_new/AqTMK.AF2rank43.pdb,43,,0,A,0,0,,1578
/home/wms/AF2-test/AF2-CatGraph-test5/data/AqTMK/01_af2/2PBR.43.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/AqTMK/01_af2_new/AqTMK.AF2rank44.pdb,44,,0,A,0,0,,1578
/home/wms/AF2-test/AF2-CatGraph-test5/data/AqTMK/01_af2/2PBR.44.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/AqTMK/01_af2_new/AqTMK.AF2rank45.pdb,45,,0,A,0,0,,1578
/home/wms/AF2-test/AF2-CatGraph-test5/data/AqTMK/01_af2/2PBR.45.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/AqTMK/01_af2_new/AqTMK.AF2rank46.pdb,46,,0,A,0,0,,1578
/home/wms/AF2-test/AF2-CatGraph-test5/data/AqTMK/01_af2/2PBR.46.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/AqTMK/01_af2_new/AqTMK.AF2rank47.pdb,47,,0,A,0,0,,1578
/home/wms/AF2-test/AF2-CatGraph-test5/data/AqTMK/01_af2/2PBR.47.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/AqTMK/01_af2_new/AqTMK.AF2rank48.pdb,48,,0,A,0,0,,1578
/home/wms/AF2-test/AF2-CatGraph-test5/data/AqTMK/01_af2/2PBR.48.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/AqTMK/01_af2_new/AqTMK.AF2rank49.pdb,49,,0,A,0,0,,1578
/home/wms/AF2-test/AF2-CatGraph-test5/data/AqTMK/01_af2/2PBR.49.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/AqTMK/01_af2_new/AqTMK.AF2rank50.pdb,50,,0,A,0,0,,1578
/home/wms/AF2-test/AF2-CatGraph-test5/data/AqTMK/01_af2/2PBR.50.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/AqTMK/01_af2_new/AqTMK.AF2rank51.pdb,51,,0,A,0,0,,1578
/home/wms/AF2-test/AF2-CatGraph-test5/data/AqTMK/01_af2/2PBR.51.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/AqTMK/01_af2_new/AqTMK.AF2rank52.pdb,52,,0,A,0,0,,1578
/home/wms/AF2-test/AF2-CatGraph-test5/data/AqTMK/01_af2/2PBR.52.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/AqTMK/01_af2_new/AqTMK.AF2rank53.pdb,53,,0,A,0,0,,1578
/home/wms/AF2-test/AF2-CatGraph-test5/data/AqTMK/01_af2/2PBR.53.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/AqTMK/01_af2_new/AqTMK.AF2rank54.pdb,54,,0,A,0,0,,1578
/home/wms/AF2-test/AF2-CatGraph-test5/data/AqTMK/01_af2/2PBR.54.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/AqTMK/01_af2_new/AqTMK.AF2rank55.pdb,55,,0,A,0,0,,1578
