input_order,source_prediction_index,numbering_index,target_id,standard_structure_id,original_structure_id,original_filename,source_path,input_pdb_path,source_af2_path,source_af2_match,plddt_filter_scope_requested,plddt_filter_scope_applied,plddt_filter_pdb_path,plddt_source_status,rank,model,seed
12,,12,GAC,GAC_AF2_0012,GAC.AF2rank12,GAC.AF2rank12.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/01_af2_new/GAC.AF2rank12.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/01_af2_new/GAC.AF2rank12.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/01_af2/5D3O.11.pdb,manifest_exact,source_if_available,source,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/01_af2/5D3O.11.pdb,manifest_exact,,,
13,,13,GAC,GAC_AF2_0013,GAC.AF2rank13,GAC.AF2rank13.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/01_af2_new/GAC.AF2rank13.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/01_af2_new/GAC.AF2rank13.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/01_af2/5D3O.12.pdb,manifest_exact,source_if_available,source,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/01_af2/5D3O.12.pdb,manifest_exact,,,
14,,14,GAC,GAC_AF2_0014,GAC.AF2rank14,GAC.AF2rank14.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/01_af2_new/GAC.AF2rank14.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/01_af2_new/GAC.AF2rank14.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/01_af2/5D3O.13.pdb,manifest_exact,source_if_available,source,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/01_af2/5D3O.13.pdb,manifest_exact,,,
15,,15,GAC,GAC_AF2_0015,GAC.AF2rank15,GAC.AF2rank15.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/01_af2_new/GAC.AF2rank15.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/01_af2_new/GAC.AF2rank15.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/01_af2/5D3O.14.pdb,manifest_exact,source_if_available,source,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/01_af2/5D3O.14.pdb,manifest_exact,,,
16,,16,GAC,GAC_AF2_0016,GAC.AF2rank16,GAC.AF2rank16.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/01_af2_new/GAC.AF2rank16.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/01_af2_new/GAC.AF2rank16.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/01_af2/5D3O.15.pdb,manifest_exact,source_if_available,source,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/01_af2/5D3O.15.pdb,manifest_exact,,,
17,,17,GAC,GAC_AF2_0017,GAC.AF2rank17,GAC.AF2rank17.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/01_af2_new/GAC.AF2rank17.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/01_af2_new/GAC.AF2rank17.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/01_af2/5D3O.16.pdb,manifest_exact,source_if_available,source,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/01_af2/5D3O.16.pdb,manifest_exact,,,
18,,18,GAC,GAC_AF2_0018,GAC.AF2rank18,GAC.AF2rank18.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/01_af2_new/GAC.AF2rank18.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/01_af2_new/GAC.AF2rank18.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/01_af2/5D3O.17.pdb,manifest_exact,source_if_available,source,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/01_af2/5D3O.17.pdb,manifest_exact,,,
19,,19,GAC,GAC_AF2_0019,GAC.AF2rank19,GAC.AF2rank19.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/01_af2_new/GAC.AF2rank19.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/01_af2_new/GAC.AF2rank19.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/01_af2/5D3O.18.pdb,manifest_exact,source_if_available,source,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/01_af2/5D3O.18.pdb,manifest_exact,,,
20,,20,GAC,GAC_AF2_0020,GAC.AF2rank20,GAC.AF2rank20.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/01_af2_new/GAC.AF2rank20.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/01_af2_new/GAC.AF2rank20.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/01_af2/5D3O.19.pdb,manifest_exact,source_if_available,source,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/01_af2/5D3O.19.pdb,manifest_exact,,,
21,,21,GAC,GAC_AF2_0021,GAC.AF2rank21,GAC.AF2rank21.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/01_af2_new/GAC.AF2rank21.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/01_af2_new/GAC.AF2rank21.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/01_af2/5D3O.20.pdb,manifest_exact,source_if_available,source,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/01_af2/5D3O.20.pdb,manifest_exact,,,
