source,output,assigned_rank,source_rank_token,removed_ranges,chains,removed_atom_records,removed_residue_count,removed_residues,retained_coordinate_records
/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/01_af2/5D3O.27.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/01_af2_new/GAC.AF2rank28.pdb,28,,0,A,0,0,,2315
/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/01_af2/5D3O.28.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/01_af2_new/GAC.AF2rank29.pdb,29,,0,A,0,0,,2315
/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/01_af2/5D3O.29.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/01_af2_new/GAC.AF2rank30.pdb,30,,0,A,0,0,,2315
/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/01_af2/5D3O.30.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/01_af2_new/GAC.AF2rank31.pdb,31,,0,A,0,0,,2315
/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/01_af2/5D3O.31.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/01_af2_new/GAC.AF2rank32.pdb,32,,0,A,0,0,,2315
/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/01_af2/5D3O.32.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/01_af2_new/GAC.AF2rank33.pdb,33,,0,A,0,0,,2315
/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/01_af2/5D3O.33.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/01_af2_new/GAC.AF2rank34.pdb,34,,0,A,0,0,,2315
/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/01_af2/5D3O.34.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/01_af2_new/GAC.AF2rank35.pdb,35,,0,A,0,0,,2315
/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/01_af2/5D3O.35.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/01_af2_new/GAC.AF2rank36.pdb,36,,0,A,0,0,,2315
/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/01_af2/5D3O.36.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/01_af2_new/GAC.AF2rank37.pdb,37,,0,A,0,0,,2315
