input_order,source_prediction_index,numbering_index,target_id,standard_structure_id,original_structure_id,original_filename,source_path,input_pdb_path,source_af2_path,source_af2_match,plddt_filter_scope_requested,plddt_filter_scope_applied,plddt_filter_pdb_path,plddt_source_status,rank,model,seed
279,,279,PTP1B,PTP1B_AF2_0279,PTP1B.AF2rank279,PTP1B.AF2rank279.pdb,/home/wms/AF2-test/AF2-CatGraph/data/PTP1B/01_af2_new/PTP1B.AF2rank279.pdb,/home/wms/AF2-test/AF2-CatGraph/data/PTP1B/01_af2_new/PTP1B.AF2rank279.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/PTP1B/01_af2/6B90.278.pdb,manifest_unique_filename,source_if_available,source,/home/wms/AF2-test/AF2-CatGraph-test5/data/PTP1B/01_af2/6B90.278.pdb,manifest_unique_filename,,,
280,,280,PTP1B,PTP1B_AF2_0280,PTP1B.AF2rank280,PTP1B.AF2rank280.pdb,/home/wms/AF2-test/AF2-CatGraph/data/PTP1B/01_af2_new/PTP1B.AF2rank280.pdb,/home/wms/AF2-test/AF2-CatGraph/data/PTP1B/01_af2_new/PTP1B.AF2rank280.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/PTP1B/01_af2/6B90.279.pdb,manifest_unique_filename,source_if_available,source,/home/wms/AF2-test/AF2-CatGraph-test5/data/PTP1B/01_af2/6B90.279.pdb,manifest_unique_filename,,,
281,,281,PTP1B,PTP1B_AF2_0281,PTP1B.AF2rank281,PTP1B.AF2rank281.pdb,/home/wms/AF2-test/AF2-CatGraph/data/PTP1B/01_af2_new/PTP1B.AF2rank281.pdb,/home/wms/AF2-test/AF2-CatGraph/data/PTP1B/01_af2_new/PTP1B.AF2rank281.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/PTP1B/01_af2/6B90.280.pdb,manifest_unique_filename,source_if_available,source,/home/wms/AF2-test/AF2-CatGraph-test5/data/PTP1B/01_af2/6B90.280.pdb,manifest_unique_filename,,,
282,,282,PTP1B,PTP1B_AF2_0282,PTP1B.AF2rank282,PTP1B.AF2rank282.pdb,/home/wms/AF2-test/AF2-CatGraph/data/PTP1B/01_af2_new/PTP1B.AF2rank282.pdb,/home/wms/AF2-test/AF2-CatGraph/data/PTP1B/01_af2_new/PTP1B.AF2rank282.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/PTP1B/01_af2/6B90.281.pdb,manifest_unique_filename,source_if_available,source,/home/wms/AF2-test/AF2-CatGraph-test5/data/PTP1B/01_af2/6B90.281.pdb,manifest_unique_filename,,,
283,,283,PTP1B,PTP1B_AF2_0283,PTP1B.AF2rank283,PTP1B.AF2rank283.pdb,/home/wms/AF2-test/AF2-CatGraph/data/PTP1B/01_af2_new/PTP1B.AF2rank283.pdb,/home/wms/AF2-test/AF2-CatGraph/data/PTP1B/01_af2_new/PTP1B.AF2rank283.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/PTP1B/01_af2/6B90.282.pdb,manifest_unique_filename,source_if_available,source,/home/wms/AF2-test/AF2-CatGraph-test5/data/PTP1B/01_af2/6B90.282.pdb,manifest_unique_filename,,,
284,,284,PTP1B,PTP1B_AF2_0284,PTP1B.AF2rank284,PTP1B.AF2rank284.pdb,/home/wms/AF2-test/AF2-CatGraph/data/PTP1B/01_af2_new/PTP1B.AF2rank284.pdb,/home/wms/AF2-test/AF2-CatGraph/data/PTP1B/01_af2_new/PTP1B.AF2rank284.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/PTP1B/01_af2/6B90.283.pdb,manifest_unique_filename,source_if_available,source,/home/wms/AF2-test/AF2-CatGraph-test5/data/PTP1B/01_af2/6B90.283.pdb,manifest_unique_filename,,,
285,,285,PTP1B,PTP1B_AF2_0285,PTP1B.AF2rank285,PTP1B.AF2rank285.pdb,/home/wms/AF2-test/AF2-CatGraph/data/PTP1B/01_af2_new/PTP1B.AF2rank285.pdb,/home/wms/AF2-test/AF2-CatGraph/data/PTP1B/01_af2_new/PTP1B.AF2rank285.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/PTP1B/01_af2/6B90.284.pdb,manifest_unique_filename,source_if_available,source,/home/wms/AF2-test/AF2-CatGraph-test5/data/PTP1B/01_af2/6B90.284.pdb,manifest_unique_filename,,,
286,,286,PTP1B,PTP1B_AF2_0286,PTP1B.AF2rank286,PTP1B.AF2rank286.pdb,/home/wms/AF2-test/AF2-CatGraph/data/PTP1B/01_af2_new/PTP1B.AF2rank286.pdb,/home/wms/AF2-test/AF2-CatGraph/data/PTP1B/01_af2_new/PTP1B.AF2rank286.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/PTP1B/01_af2/6B90.285.pdb,manifest_unique_filename,source_if_available,source,/home/wms/AF2-test/AF2-CatGraph-test5/data/PTP1B/01_af2/6B90.285.pdb,manifest_unique_filename,,,
287,,287,PTP1B,PTP1B_AF2_0287,PTP1B.AF2rank287,PTP1B.AF2rank287.pdb,/home/wms/AF2-test/AF2-CatGraph/data/PTP1B/01_af2_new/PTP1B.AF2rank287.pdb,/home/wms/AF2-test/AF2-CatGraph/data/PTP1B/01_af2_new/PTP1B.AF2rank287.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/PTP1B/01_af2/6B90.286.pdb,manifest_unique_filename,source_if_available,source,/home/wms/AF2-test/AF2-CatGraph-test5/data/PTP1B/01_af2/6B90.286.pdb,manifest_unique_filename,,,
288,,288,PTP1B,PTP1B_AF2_0288,PTP1B.AF2rank288,PTP1B.AF2rank288.pdb,/home/wms/AF2-test/AF2-CatGraph/data/PTP1B/01_af2_new/PTP1B.AF2rank288.pdb,/home/wms/AF2-test/AF2-CatGraph/data/PTP1B/01_af2_new/PTP1B.AF2rank288.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/PTP1B/01_af2/6B90.287.pdb,manifest_unique_filename,source_if_available,source,/home/wms/AF2-test/AF2-CatGraph-test5/data/PTP1B/01_af2/6B90.287.pdb,manifest_unique_filename,,,
289,,289,PTP1B,PTP1B_AF2_0289,PTP1B.AF2rank289,PTP1B.AF2rank289.pdb,/home/wms/AF2-test/AF2-CatGraph/data/PTP1B/01_af2_new/PTP1B.AF2rank289.pdb,/home/wms/AF2-test/AF2-CatGraph/data/PTP1B/01_af2_new/PTP1B.AF2rank289.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/PTP1B/01_af2/6B90.288.pdb,manifest_unique_filename,source_if_available,source,/home/wms/AF2-test/AF2-CatGraph-test5/data/PTP1B/01_af2/6B90.288.pdb,manifest_unique_filename,,,
290,,290,PTP1B,PTP1B_AF2_0290,PTP1B.AF2rank290,PTP1B.AF2rank290.pdb,/home/wms/AF2-test/AF2-CatGraph/data/PTP1B/01_af2_new/PTP1B.AF2rank290.pdb,/home/wms/AF2-test/AF2-CatGraph/data/PTP1B/01_af2_new/PTP1B.AF2rank290.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/PTP1B/01_af2/6B90.289.pdb,manifest_unique_filename,source_if_available,source,/home/wms/AF2-test/AF2-CatGraph-test5/data/PTP1B/01_af2/6B90.289.pdb,manifest_unique_filename,,,
291,,291,PTP1B,PTP1B_AF2_0291,PTP1B.AF2rank291,PTP1B.AF2rank291.pdb,/home/wms/AF2-test/AF2-CatGraph/data/PTP1B/01_af2_new/PTP1B.AF2rank291.pdb,/home/wms/AF2-test/AF2-CatGraph/data/PTP1B/01_af2_new/PTP1B.AF2rank291.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/PTP1B/01_af2/6B90.290.pdb,manifest_unique_filename,source_if_available,source,/home/wms/AF2-test/AF2-CatGraph-test5/data/PTP1B/01_af2/6B90.290.pdb,manifest_unique_filename,,,
292,,292,PTP1B,PTP1B_AF2_0292,PTP1B.AF2rank292,PTP1B.AF2rank292.pdb,/home/wms/AF2-test/AF2-CatGraph/data/PTP1B/01_af2_new/PTP1B.AF2rank292.pdb,/home/wms/AF2-test/AF2-CatGraph/data/PTP1B/01_af2_new/PTP1B.AF2rank292.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/PTP1B/01_af2/6B90.291.pdb,manifest_unique_filename,source_if_available,source,/home/wms/AF2-test/AF2-CatGraph-test5/data/PTP1B/01_af2/6B90.291.pdb,manifest_unique_filename,,,
293,,293,PTP1B,PTP1B_AF2_0293,PTP1B.AF2rank293,PTP1B.AF2rank293.pdb,/home/wms/AF2-test/AF2-CatGraph/data/PTP1B/01_af2_new/PTP1B.AF2rank293.pdb,/home/wms/AF2-test/AF2-CatGraph/data/PTP1B/01_af2_new/PTP1B.AF2rank293.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/PTP1B/01_af2/6B90.292.pdb,manifest_unique_filename,source_if_available,source,/home/wms/AF2-test/AF2-CatGraph-test5/data/PTP1B/01_af2/6B90.292.pdb,manifest_unique_filename,,,
