standard_structure_id,complex_pdb_path,plip_work_dir,plip_report_path,ged_file_path,n_ligand_atoms,n_ligand_nodes,n_protein_nodes,n_total_nodes,n_interaction_records,n_ligand_connectivity_edges,n_total_edges,status,error_message
AqTMK_23,/home/wms/AF2-test/AF2-CatGraph/results/AqTMK/02_template_guided_docking/complexes/AqTMK_23_complex.pdb,results/AqTMK/05_plip_interaction_graphs/plip_outputs/AqTMK_23,results/AqTMK/05_plip_interaction_graphs/plip_outputs/AqTMK_23/report.xml,results/AqTMK/05_plip_interaction_graphs/ged_input_files/AqTMK_23_final.txt,21,21,11,32,18,18,35,success,
AqTMK_26,/home/wms/AF2-test/AF2-CatGraph/results/AqTMK/02_template_guided_docking/complexes/AqTMK_26_complex.pdb,results/AqTMK/05_plip_interaction_graphs/plip_outputs/AqTMK_26,results/AqTMK/05_plip_interaction_graphs/plip_outputs/AqTMK_26/report.xml,results/AqTMK/05_plip_interaction_graphs/ged_input_files/AqTMK_26_final.txt,21,21,11,32,20,18,37,success,
AqTMK_28,/home/wms/AF2-test/AF2-CatGraph/results/AqTMK/02_template_guided_docking/complexes/AqTMK_28_complex.pdb,results/AqTMK/05_plip_interaction_graphs/plip_outputs/AqTMK_28,results/AqTMK/05_plip_interaction_graphs/plip_outputs/AqTMK_28/report.xml,results/AqTMK/05_plip_interaction_graphs/ged_input_files/AqTMK_28_final.txt,21,21,11,32,19,18,36,success,
AqTMK_30,/home/wms/AF2-test/AF2-CatGraph/results/AqTMK/02_template_guided_docking/complexes/AqTMK_30_complex.pdb,results/AqTMK/05_plip_interaction_graphs/plip_outputs/AqTMK_30,results/AqTMK/05_plip_interaction_graphs/plip_outputs/AqTMK_30/report.xml,results/AqTMK/05_plip_interaction_graphs/ged_input_files/AqTMK_30_final.txt,21,21,11,32,21,18,38,success,
AqTMK_33,/home/wms/AF2-test/AF2-CatGraph/results/AqTMK/02_template_guided_docking/complexes/AqTMK_33_complex.pdb,results/AqTMK/05_plip_interaction_graphs/plip_outputs/AqTMK_33,results/AqTMK/05_plip_interaction_graphs/plip_outputs/AqTMK_33/report.xml,results/AqTMK/05_plip_interaction_graphs/ged_input_files/AqTMK_33_final.txt,21,21,9,30,13,18,30,success,
AqTMK_35,/home/wms/AF2-test/AF2-CatGraph/results/AqTMK/02_template_guided_docking/complexes/AqTMK_35_complex.pdb,results/AqTMK/05_plip_interaction_graphs/plip_outputs/AqTMK_35,results/AqTMK/05_plip_interaction_graphs/plip_outputs/AqTMK_35/report.xml,results/AqTMK/05_plip_interaction_graphs/ged_input_files/AqTMK_35_final.txt,21,21,12,33,21,18,38,success,
AqTMK_37,/home/wms/AF2-test/AF2-CatGraph/results/AqTMK/02_template_guided_docking/complexes/AqTMK_37_complex.pdb,results/AqTMK/05_plip_interaction_graphs/plip_outputs/AqTMK_37,results/AqTMK/05_plip_interaction_graphs/plip_outputs/AqTMK_37/report.xml,results/AqTMK/05_plip_interaction_graphs/ged_input_files/AqTMK_37_final.txt,21,21,11,32,19,18,36,success,
AqTMK_38,/home/wms/AF2-test/AF2-CatGraph/results/AqTMK/02_template_guided_docking/complexes/AqTMK_38_complex.pdb,results/AqTMK/05_plip_interaction_graphs/plip_outputs/AqTMK_38,results/AqTMK/05_plip_interaction_graphs/plip_outputs/AqTMK_38/report.xml,results/AqTMK/05_plip_interaction_graphs/ged_input_files/AqTMK_38_final.txt,21,21,12,33,19,18,36,success,
AqTMK_39,/home/wms/AF2-test/AF2-CatGraph/results/AqTMK/02_template_guided_docking/complexes/AqTMK_39_complex.pdb,results/AqTMK/05_plip_interaction_graphs/plip_outputs/AqTMK_39,results/AqTMK/05_plip_interaction_graphs/plip_outputs/AqTMK_39/report.xml,results/AqTMK/05_plip_interaction_graphs/ged_input_files/AqTMK_39_final.txt,21,21,12,33,20,18,37,success,
AqTMK_41,/home/wms/AF2-test/AF2-CatGraph/results/AqTMK/02_template_guided_docking/complexes/AqTMK_41_complex.pdb,results/AqTMK/05_plip_interaction_graphs/plip_outputs/AqTMK_41,results/AqTMK/05_plip_interaction_graphs/plip_outputs/AqTMK_41/report.xml,results/AqTMK/05_plip_interaction_graphs/ged_input_files/AqTMK_41_final.txt,21,21,10,31,20,18,37,success,
AqTMK_43,/home/wms/AF2-test/AF2-CatGraph/results/AqTMK/02_template_guided_docking/complexes/AqTMK_43_complex.pdb,results/AqTMK/05_plip_interaction_graphs/plip_outputs/AqTMK_43,results/AqTMK/05_plip_interaction_graphs/plip_outputs/AqTMK_43/report.xml,results/AqTMK/05_plip_interaction_graphs/ged_input_files/AqTMK_43_final.txt,21,21,9,30,13,18,30,success,
AqTMK_44,/home/wms/AF2-test/AF2-CatGraph/results/AqTMK/02_template_guided_docking/complexes/AqTMK_44_complex.pdb,results/AqTMK/05_plip_interaction_graphs/plip_outputs/AqTMK_44,results/AqTMK/05_plip_interaction_graphs/plip_outputs/AqTMK_44/report.xml,results/AqTMK/05_plip_interaction_graphs/ged_input_files/AqTMK_44_final.txt,21,21,11,32,20,18,37,success,
AqTMK_45,/home/wms/AF2-test/AF2-CatGraph/results/AqTMK/02_template_guided_docking/complexes/AqTMK_45_complex.pdb,results/AqTMK/05_plip_interaction_graphs/plip_outputs/AqTMK_45,results/AqTMK/05_plip_interaction_graphs/plip_outputs/AqTMK_45/report.xml,results/AqTMK/05_plip_interaction_graphs/ged_input_files/AqTMK_45_final.txt,21,21,9,30,14,18,31,success,
AqTMK_46,/home/wms/AF2-test/AF2-CatGraph/results/AqTMK/02_template_guided_docking/complexes/AqTMK_46_complex.pdb,results/AqTMK/05_plip_interaction_graphs/plip_outputs/AqTMK_46,results/AqTMK/05_plip_interaction_graphs/plip_outputs/AqTMK_46/report.xml,results/AqTMK/05_plip_interaction_graphs/ged_input_files/AqTMK_46_final.txt,21,21,11,32,20,18,37,success,
AqTMK_47,/home/wms/AF2-test/AF2-CatGraph/results/AqTMK/02_template_guided_docking/complexes/AqTMK_47_complex.pdb,results/AqTMK/05_plip_interaction_graphs/plip_outputs/AqTMK_47,results/AqTMK/05_plip_interaction_graphs/plip_outputs/AqTMK_47/report.xml,results/AqTMK/05_plip_interaction_graphs/ged_input_files/AqTMK_47_final.txt,21,21,9,30,14,18,31,success,
AqTMK_48,/home/wms/AF2-test/AF2-CatGraph/results/AqTMK/02_template_guided_docking/complexes/AqTMK_48_complex.pdb,results/AqTMK/05_plip_interaction_graphs/plip_outputs/AqTMK_48,results/AqTMK/05_plip_interaction_graphs/plip_outputs/AqTMK_48/report.xml,results/AqTMK/05_plip_interaction_graphs/ged_input_files/AqTMK_48_final.txt,21,21,9,30,14,18,31,success,
AqTMK_49,/home/wms/AF2-test/AF2-CatGraph/results/AqTMK/02_template_guided_docking/complexes/AqTMK_49_complex.pdb,results/AqTMK/05_plip_interaction_graphs/plip_outputs/AqTMK_49,results/AqTMK/05_plip_interaction_graphs/plip_outputs/AqTMK_49/report.xml,results/AqTMK/05_plip_interaction_graphs/ged_input_files/AqTMK_49_final.txt,21,21,9,30,13,18,30,success,
AqTMK_50,/home/wms/AF2-test/AF2-CatGraph/results/AqTMK/02_template_guided_docking/complexes/AqTMK_50_complex.pdb,results/AqTMK/05_plip_interaction_graphs/plip_outputs/AqTMK_50,results/AqTMK/05_plip_interaction_graphs/plip_outputs/AqTMK_50/report.xml,results/AqTMK/05_plip_interaction_graphs/ged_input_files/AqTMK_50_final.txt,21,21,9,30,13,18,30,success,
AqTMK_53,/home/wms/AF2-test/AF2-CatGraph/results/AqTMK/02_template_guided_docking/complexes/AqTMK_53_complex.pdb,results/AqTMK/05_plip_interaction_graphs/plip_outputs/AqTMK_53,results/AqTMK/05_plip_interaction_graphs/plip_outputs/AqTMK_53/report.xml,results/AqTMK/05_plip_interaction_graphs/ged_input_files/AqTMK_53_final.txt,21,21,9,30,14,18,31,success,
AqTMK_54,/home/wms/AF2-test/AF2-CatGraph/results/AqTMK/02_template_guided_docking/complexes/AqTMK_54_complex.pdb,results/AqTMK/05_plip_interaction_graphs/plip_outputs/AqTMK_54,results/AqTMK/05_plip_interaction_graphs/plip_outputs/AqTMK_54/report.xml,results/AqTMK/05_plip_interaction_graphs/ged_input_files/AqTMK_54_final.txt,21,21,9,30,15,18,32,success,
AqTMK_56,/home/wms/AF2-test/AF2-CatGraph/results/AqTMK/02_template_guided_docking/complexes/AqTMK_56_complex.pdb,results/AqTMK/05_plip_interaction_graphs/plip_outputs/AqTMK_56,results/AqTMK/05_plip_interaction_graphs/plip_outputs/AqTMK_56/report.xml,results/AqTMK/05_plip_interaction_graphs/ged_input_files/AqTMK_56_final.txt,21,21,9,30,15,18,32,success,
AqTMK_57,/home/wms/AF2-test/AF2-CatGraph/results/AqTMK/02_template_guided_docking/complexes/AqTMK_57_complex.pdb,results/AqTMK/05_plip_interaction_graphs/plip_outputs/AqTMK_57,results/AqTMK/05_plip_interaction_graphs/plip_outputs/AqTMK_57/report.xml,results/AqTMK/05_plip_interaction_graphs/ged_input_files/AqTMK_57_final.txt,21,21,8,29,14,18,31,success,
AqTMK_58,/home/wms/AF2-test/AF2-CatGraph/results/AqTMK/02_template_guided_docking/complexes/AqTMK_58_complex.pdb,results/AqTMK/05_plip_interaction_graphs/plip_outputs/AqTMK_58,results/AqTMK/05_plip_interaction_graphs/plip_outputs/AqTMK_58/report.xml,results/AqTMK/05_plip_interaction_graphs/ged_input_files/AqTMK_58_final.txt,21,21,11,32,20,18,37,success,
AqTMK_59,/home/wms/AF2-test/AF2-CatGraph/results/AqTMK/02_template_guided_docking/complexes/AqTMK_59_complex.pdb,results/AqTMK/05_plip_interaction_graphs/plip_outputs/AqTMK_59,results/AqTMK/05_plip_interaction_graphs/plip_outputs/AqTMK_59/report.xml,results/AqTMK/05_plip_interaction_graphs/ged_input_files/AqTMK_59_final.txt,21,21,9,30,15,18,32,success,
AqTMK_60,/home/wms/AF2-test/AF2-CatGraph/results/AqTMK/02_template_guided_docking/complexes/AqTMK_60_complex.pdb,results/AqTMK/05_plip_interaction_graphs/plip_outputs/AqTMK_60,results/AqTMK/05_plip_interaction_graphs/plip_outputs/AqTMK_60/report.xml,results/AqTMK/05_plip_interaction_graphs/ged_input_files/AqTMK_60_final.txt,21,21,11,32,20,18,37,success,
AqTMK_62,/home/wms/AF2-test/AF2-CatGraph/results/AqTMK/02_template_guided_docking/complexes/AqTMK_62_complex.pdb,results/AqTMK/05_plip_interaction_graphs/plip_outputs/AqTMK_62,results/AqTMK/05_plip_interaction_graphs/plip_outputs/AqTMK_62/report.xml,results/AqTMK/05_plip_interaction_graphs/ged_input_files/AqTMK_62_final.txt,21,21,9,30,15,18,32,success,
AqTMK_63,/home/wms/AF2-test/AF2-CatGraph/results/AqTMK/02_template_guided_docking/complexes/AqTMK_63_complex.pdb,results/AqTMK/05_plip_interaction_graphs/plip_outputs/AqTMK_63,results/AqTMK/05_plip_interaction_graphs/plip_outputs/AqTMK_63/report.xml,results/AqTMK/05_plip_interaction_graphs/ged_input_files/AqTMK_63_final.txt,21,21,9,30,15,18,32,success,
AqTMK_65,/home/wms/AF2-test/AF2-CatGraph/results/AqTMK/02_template_guided_docking/complexes/AqTMK_65_complex.pdb,results/AqTMK/05_plip_interaction_graphs/plip_outputs/AqTMK_65,results/AqTMK/05_plip_interaction_graphs/plip_outputs/AqTMK_65/report.xml,results/AqTMK/05_plip_interaction_graphs/ged_input_files/AqTMK_65_final.txt,21,21,12,33,21,18,38,success,
AqTMK_66,/home/wms/AF2-test/AF2-CatGraph/results/AqTMK/02_template_guided_docking/complexes/AqTMK_66_complex.pdb,results/AqTMK/05_plip_interaction_graphs/plip_outputs/AqTMK_66,results/AqTMK/05_plip_interaction_graphs/plip_outputs/AqTMK_66/report.xml,results/AqTMK/05_plip_interaction_graphs/ged_input_files/AqTMK_66_final.txt,21,21,9,30,13,18,30,success,
AqTMK_68,/home/wms/AF2-test/AF2-CatGraph/results/AqTMK/02_template_guided_docking/complexes/AqTMK_68_complex.pdb,results/AqTMK/05_plip_interaction_graphs/plip_outputs/AqTMK_68,results/AqTMK/05_plip_interaction_graphs/plip_outputs/AqTMK_68/report.xml,results/AqTMK/05_plip_interaction_graphs/ged_input_files/AqTMK_68_final.txt,21,21,9,30,15,18,32,success,
AqTMK_69,/home/wms/AF2-test/AF2-CatGraph/results/AqTMK/02_template_guided_docking/complexes/AqTMK_69_complex.pdb,results/AqTMK/05_plip_interaction_graphs/plip_outputs/AqTMK_69,results/AqTMK/05_plip_interaction_graphs/plip_outputs/AqTMK_69/report.xml,results/AqTMK/05_plip_interaction_graphs/ged_input_files/AqTMK_69_final.txt,21,21,10,31,16,18,33,success,
AqTMK_70,/home/wms/AF2-test/AF2-CatGraph/results/AqTMK/02_template_guided_docking/complexes/AqTMK_70_complex.pdb,results/AqTMK/05_plip_interaction_graphs/plip_outputs/AqTMK_70,results/AqTMK/05_plip_interaction_graphs/plip_outputs/AqTMK_70/report.xml,results/AqTMK/05_plip_interaction_graphs/ged_input_files/AqTMK_70_final.txt,21,21,9,30,15,18,32,success,
