source,output,assigned_rank,source_rank_token,removed_ranges,chains,removed_atom_records,removed_residue_count,removed_residues,retained_coordinate_records
/home/wms/AF2-test/AF2-CatGraph-test5/data/PTP1B/01_af2/6B90.26.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/PTP1B/01_af2_new/PTP1B.AF2rank27.pdb,27,,0,A,0,0,,2442
/home/wms/AF2-test/AF2-CatGraph-test5/data/PTP1B/01_af2/6B90.27.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/PTP1B/01_af2_new/PTP1B.AF2rank28.pdb,28,,0,A,0,0,,2442
/home/wms/AF2-test/AF2-CatGraph-test5/data/PTP1B/01_af2/6B90.28.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/PTP1B/01_af2_new/PTP1B.AF2rank29.pdb,29,,0,A,0,0,,2442
/home/wms/AF2-test/AF2-CatGraph-test5/data/PTP1B/01_af2/6B90.29.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/PTP1B/01_af2_new/PTP1B.AF2rank30.pdb,30,,0,A,0,0,,2442
/home/wms/AF2-test/AF2-CatGraph-test5/data/PTP1B/01_af2/6B90.30.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/PTP1B/01_af2_new/PTP1B.AF2rank31.pdb,31,,0,A,0,0,,2442
/home/wms/AF2-test/AF2-CatGraph-test5/data/PTP1B/01_af2/6B90.31.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/PTP1B/01_af2_new/PTP1B.AF2rank32.pdb,32,,0,A,0,0,,2442
/home/wms/AF2-test/AF2-CatGraph-test5/data/PTP1B/01_af2/6B90.32.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/PTP1B/01_af2_new/PTP1B.AF2rank33.pdb,33,,0,A,0,0,,2442
/home/wms/AF2-test/AF2-CatGraph-test5/data/PTP1B/01_af2/6B90.33.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/PTP1B/01_af2_new/PTP1B.AF2rank34.pdb,34,,0,A,0,0,,2442
/home/wms/AF2-test/AF2-CatGraph-test5/data/PTP1B/01_af2/6B90.34.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/PTP1B/01_af2_new/PTP1B.AF2rank35.pdb,35,,0,A,0,0,,2442
/home/wms/AF2-test/AF2-CatGraph-test5/data/PTP1B/01_af2/6B90.35.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/PTP1B/01_af2_new/PTP1B.AF2rank36.pdb,36,,0,A,0,0,,2442
/home/wms/AF2-test/AF2-CatGraph-test5/data/PTP1B/01_af2/6B90.36.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/PTP1B/01_af2_new/PTP1B.AF2rank37.pdb,37,,0,A,0,0,,2442
/home/wms/AF2-test/AF2-CatGraph-test5/data/PTP1B/01_af2/6B90.37.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/PTP1B/01_af2_new/PTP1B.AF2rank38.pdb,38,,0,A,0,0,,2442
/home/wms/AF2-test/AF2-CatGraph-test5/data/PTP1B/01_af2/6B90.38.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/PTP1B/01_af2_new/PTP1B.AF2rank39.pdb,39,,0,A,0,0,,2442
/home/wms/AF2-test/AF2-CatGraph-test5/data/PTP1B/01_af2/6B90.39.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/PTP1B/01_af2_new/PTP1B.AF2rank40.pdb,40,,0,A,0,0,,2442
/home/wms/AF2-test/AF2-CatGraph-test5/data/PTP1B/01_af2/6B90.40.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/PTP1B/01_af2_new/PTP1B.AF2rank41.pdb,41,,0,A,0,0,,2442
/home/wms/AF2-test/AF2-CatGraph-test5/data/PTP1B/01_af2/6B90.41.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/PTP1B/01_af2_new/PTP1B.AF2rank42.pdb,42,,0,A,0,0,,2442
/home/wms/AF2-test/AF2-CatGraph-test5/data/PTP1B/01_af2/6B90.42.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/PTP1B/01_af2_new/PTP1B.AF2rank43.pdb,43,,0,A,0,0,,2442
/home/wms/AF2-test/AF2-CatGraph-test5/data/PTP1B/01_af2/6B90.43.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/PTP1B/01_af2_new/PTP1B.AF2rank44.pdb,44,,0,A,0,0,,2442
/home/wms/AF2-test/AF2-CatGraph-test5/data/PTP1B/01_af2/6B90.44.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/PTP1B/01_af2_new/PTP1B.AF2rank45.pdb,45,,0,A,0,0,,2442
/home/wms/AF2-test/AF2-CatGraph-test5/data/PTP1B/01_af2/6B90.45.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/PTP1B/01_af2_new/PTP1B.AF2rank46.pdb,46,,0,A,0,0,,2442
/home/wms/AF2-test/AF2-CatGraph-test5/data/PTP1B/01_af2/6B90.46.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/PTP1B/01_af2_new/PTP1B.AF2rank47.pdb,47,,0,A,0,0,,2442
/home/wms/AF2-test/AF2-CatGraph-test5/data/PTP1B/01_af2/6B90.47.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/PTP1B/01_af2_new/PTP1B.AF2rank48.pdb,48,,0,A,0,0,,2442
/home/wms/AF2-test/AF2-CatGraph-test5/data/PTP1B/01_af2/6B90.48.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/PTP1B/01_af2_new/PTP1B.AF2rank49.pdb,49,,0,A,0,0,,2442
