merged_class,label,representative_structure_id,structure_ids,n_structures,is_catalytic_candidate,input_folder,input_source,graph_file,representative_pdb_path,original_classes,n_common_edges_missing,missing_common_edges,n_rare_edges_present,rare_edges_present,panel_svg,panel_png,topology_status,n_ligand_nodes,n_ligand_bond_edges,n_interaction_ligand_nodes,n_unattached_plip_ligand_nodes,unattached_plip_ligand_nodes,n_disconnected_ligand_entities,disconnected_ligand_entities,topology_message
class_11,Class 11,PTP1B_16,PTP1B_16;PTP1B_28;PTP1B_72;PTP1B_88,4,True,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/05_plip_interaction_graphs/plip_outputs/PTP1B_16,step06_plip_folder,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/07_ged_classification/classes/class_1/PTP1B_168_final.txt,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/02_template_guided_docking/complexes/PTP1B_16_complex.pdb,class_21;class_39;class_45,0,,1,F182 | π contact | Aromatic ring unit,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/09_class_visualization/figures/class_panels/PTP1B_class_11.svg,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/09_class_visualization/figures/class_panels/PTP1B_class_11.png,ok,17,17,9,0,,0,,All PLIP ligand endpoints are attached to their within-entity covalent topology.
class_12,Class 12,PTP1B_37,PTP1B_37;PTP1B_157;PTP1B_249,3,False,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/05_plip_interaction_graphs/plip_outputs/PTP1B_37,step06_plip_folder,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/07_ged_classification/classes/class_22/PTP1B_37_final.txt,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/02_template_guided_docking/complexes/PTP1B_37_complex.pdb,class_22,0,,0,,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/09_class_visualization/figures/class_panels/PTP1B_class_12.svg,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/09_class_visualization/figures/class_panels/PTP1B_class_12.png,ok,17,17,8,0,,0,,All PLIP ligand endpoints are attached to their within-entity covalent topology.
class_13,Class 13,PTP1B_53,PTP1B_53;PTP1B_166;PTP1B_217;PTP1B_251,4,False,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/05_plip_interaction_graphs/plip_outputs/PTP1B_53,step06_plip_folder,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/07_ged_classification/classes/class_25/PTP1B_53_final.txt,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/02_template_guided_docking/complexes/PTP1B_53_complex.pdb,class_25;class_31;class_59,0,,0,,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/09_class_visualization/figures/class_panels/PTP1B_class_13.svg,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/09_class_visualization/figures/class_panels/PTP1B_class_13.png,ok,17,17,9,0,,0,,All PLIP ligand endpoints are attached to their within-entity covalent topology.
class_14,Class 14,PTP1B_4,PTP1B_4;PTP1B_10;PTP1B_12;PTP1B_13;PTP1B_15;PTP1B_17;PTP1B_20;PTP1B_25;PTP1B_32;PTP1B_33;PTP1B_34;PTP1B_40;PTP1B_42;PTP1B_45;PTP1B_46;PTP1B_47;PTP1B_49;PTP1B_52;PTP1B_54;PTP1B_56;PTP1B_65;PTP1B_67;PTP1B_71;PTP1B_76;PTP1B_79;PTP1B_83;PTP1B_85;PTP1B_87;PTP1B_92;PTP1B_94;PTP1B_95;PTP1B_96;PTP1B_110;PTP1B_111;PTP1B_117;PTP1B_121;PTP1B_132;PTP1B_137;PTP1B_139;PTP1B_141;PTP1B_142;PTP1B_144;PTP1B_145;PTP1B_147;PTP1B_159;PTP1B_161;PTP1B_164;PTP1B_174;PTP1B_177;PTP1B_182;PTP1B_183;PTP1B_184;PTP1B_188;PTP1B_190;PTP1B_193;PTP1B_200;PTP1B_202;PTP1B_211;PTP1B_227;PTP1B_230;PTP1B_242;PTP1B_252;PTP1B_255;PTP1B_263;PTP1B_265;PTP1B_288,66,False,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/05_plip_interaction_graphs/plip_outputs/PTP1B_4,step06_plip_folder,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/07_ged_classification/classes/class_1/PTP1B_41_final.txt,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/02_template_guided_docking/complexes/PTP1B_4_complex.pdb,class_26;class_28;class_35;class_38;class_44;class_46;class_68;class_77,0,,0,,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/09_class_visualization/figures/class_panels/PTP1B_class_14.svg,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/09_class_visualization/figures/class_panels/PTP1B_class_14.png,ok,17,17,8,0,,0,,All PLIP ligand endpoints are attached to their within-entity covalent topology.
class_15,Class 15,PTP1B_134,PTP1B_134;PTP1B_156;PTP1B_248;PTP1B_301,4,True,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/05_plip_interaction_graphs/plip_outputs/PTP1B_134,step06_plip_folder,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/07_ged_classification/classes/class_49/PTP1B_134_final.txt,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/02_template_guided_docking/complexes/PTP1B_134_complex.pdb,class_32;class_49;class_66,0,,1,Q262 | Polar contact | N1 site,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/09_class_visualization/figures/class_panels/PTP1B_class_15.svg,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/09_class_visualization/figures/class_panels/PTP1B_class_15.png,ok,17,17,8,0,,0,,All PLIP ligand endpoints are attached to their within-entity covalent topology.
class_16,Class 16,PTP1B_5,PTP1B_5;PTP1B_23;PTP1B_70;PTP1B_82;PTP1B_89;PTP1B_90;PTP1B_97;PTP1B_99;PTP1B_112;PTP1B_125;PTP1B_130;PTP1B_133;PTP1B_158;PTP1B_178;PTP1B_180;PTP1B_196;PTP1B_197;PTP1B_198;PTP1B_199;PTP1B_201;PTP1B_203;PTP1B_204;PTP1B_219;PTP1B_239;PTP1B_243;PTP1B_247;PTP1B_250;PTP1B_266;PTP1B_277;PTP1B_278;PTP1B_279;PTP1B_293;PTP1B_295;PTP1B_297;PTP1B_300;PTP1B_303;PTP1B_308;PTP1B_309;PTP1B_310;PTP1B_311,40,False,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/05_plip_interaction_graphs/plip_outputs/PTP1B_5,step06_plip_folder,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/07_ged_classification/classes/class_36/PTP1B_5_final.txt,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/02_template_guided_docking/complexes/PTP1B_5_complex.pdb,class_36;class_69;class_72;class_78;class_79;class_86;class_87;class_89;class_96,0,,0,,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/09_class_visualization/figures/class_panels/PTP1B_class_16.svg,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/09_class_visualization/figures/class_panels/PTP1B_class_16.png,ok,17,17,9,0,,0,,All PLIP ligand endpoints are attached to their within-entity covalent topology.
class_17,Class 17,PTP1B_35,PTP1B_35;PTP1B_55,2,True,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/05_plip_interaction_graphs/plip_outputs/PTP1B_35,step06_plip_folder,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/07_ged_classification/classes/class_41/PTP1B_35_final.txt,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/02_template_guided_docking/complexes/PTP1B_35_complex.pdb,class_41;class_43,0,,1,F182 | π contact | Aromatic ring unit,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/09_class_visualization/figures/class_panels/PTP1B_class_17.svg,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/09_class_visualization/figures/class_panels/PTP1B_class_17.png,ok,17,17,9,0,,0,,All PLIP ligand endpoints are attached to their within-entity covalent topology.
class_18,Class 18,PTP1B_44,PTP1B_44,1,True,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/05_plip_interaction_graphs/plip_outputs/PTP1B_44,step06_plip_folder,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/07_ged_classification/classes/class_42/PTP1B_44_final.txt,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/02_template_guided_docking/complexes/PTP1B_44_complex.pdb,class_42,0,,1,D181 | Polar contact | Phosphate unit,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/09_class_visualization/figures/class_panels/PTP1B_class_18.svg,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/09_class_visualization/figures/class_panels/PTP1B_class_18.png,ok,17,17,7,0,,0,,All PLIP ligand endpoints are attached to their within-entity covalent topology.
class_19,Class 19,PTP1B_101,PTP1B_101;PTP1B_114;PTP1B_138;PTP1B_194;PTP1B_209;PTP1B_212;PTP1B_218;PTP1B_237;PTP1B_241;PTP1B_246;PTP1B_285;PTP1B_296;PTP1B_312,13,False,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/05_plip_interaction_graphs/plip_outputs/PTP1B_101,step06_plip_folder,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/07_ged_classification/classes/class_47/PTP1B_101_final.txt,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/02_template_guided_docking/complexes/PTP1B_101_complex.pdb,class_47;class_48;class_58;class_74,0,,0,,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/09_class_visualization/figures/class_panels/PTP1B_class_19.svg,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/09_class_visualization/figures/class_panels/PTP1B_class_19.png,ok,17,17,9,0,,0,,All PLIP ligand endpoints are attached to their within-entity covalent topology.
class_20,Class 20,PTP1B_143,PTP1B_143;PTP1B_276,2,False,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/05_plip_interaction_graphs/plip_outputs/PTP1B_143,step06_plip_folder,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/07_ged_classification/classes/class_50/PTP1B_143_final.txt,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/02_template_guided_docking/complexes/PTP1B_143_complex.pdb,class_50;class_63,0,,0,,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/09_class_visualization/figures/class_panels/PTP1B_class_20.svg,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/09_class_visualization/figures/class_panels/PTP1B_class_20.png,ok,17,17,9,0,,0,,All PLIP ligand endpoints are attached to their within-entity covalent topology.
