merged_class,structure_id,file_type,source,action
class_17,PTP1B_35,plip_output_dir,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/05_plip_interaction_graphs/plip_outputs/PTP1B_35,exists
class_17,PTP1B_35,structure_pdb,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/02_template_guided_docking/complexes/PTP1B_35_complex.pdb,exists
class_17,PTP1B_35,ged_graph,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/07_ged_classification/classes/class_41/PTP1B_35_final.txt,exists
class_17,PTP1B_55,plip_output_dir,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/05_plip_interaction_graphs/plip_outputs/PTP1B_55,exists
class_17,PTP1B_55,structure_pdb,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/02_template_guided_docking/complexes/PTP1B_55_complex.pdb,exists
class_17,PTP1B_55,ged_graph,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/07_ged_classification/classes/class_43/PTP1B_55_final.txt,exists
class_18,PTP1B_44,plip_output_dir,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/05_plip_interaction_graphs/plip_outputs/PTP1B_44,exists
class_18,PTP1B_44,structure_pdb,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/02_template_guided_docking/complexes/PTP1B_44_complex.pdb,exists
class_18,PTP1B_44,ged_graph,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/07_ged_classification/classes/class_42/PTP1B_44_final.txt,exists
class_25,PTP1B_262,plip_output_dir,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/05_plip_interaction_graphs/plip_outputs/PTP1B_262,exists
class_25,PTP1B_262,structure_pdb,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/02_template_guided_docking/complexes/PTP1B_262_complex.pdb,exists
class_25,PTP1B_262,ged_graph,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/07_ged_classification/classes/class_60/PTP1B_262_final.txt,exists
