standard_structure_id,complex_pdb_path,plip_work_dir,plip_report_path,ged_file_path,n_ligand_atoms,n_ligand_nodes,n_protein_nodes,n_total_nodes,n_interaction_records,n_ligand_connectivity_edges,n_total_edges,status,error_message
PTP1B_17,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/02_template_guided_docking/complexes/PTP1B_17_complex.pdb,results/PTP1B/05_plip_interaction_graphs/plip_outputs/PTP1B_17,results/PTP1B/05_plip_interaction_graphs/plip_outputs/PTP1B_17/report.xml,results/PTP1B/05_plip_interaction_graphs/ged_input_files/PTP1B_17_final.txt,17,17,9,26,12,17,29,success,
PTP1B_18,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/02_template_guided_docking/complexes/PTP1B_18_complex.pdb,results/PTP1B/05_plip_interaction_graphs/plip_outputs/PTP1B_18,results/PTP1B/05_plip_interaction_graphs/plip_outputs/PTP1B_18/report.xml,results/PTP1B/05_plip_interaction_graphs/ged_input_files/PTP1B_18_final.txt,17,17,10,27,15,17,32,success,
PTP1B_19,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/02_template_guided_docking/complexes/PTP1B_19_complex.pdb,results/PTP1B/05_plip_interaction_graphs/plip_outputs/PTP1B_19,results/PTP1B/05_plip_interaction_graphs/plip_outputs/PTP1B_19/report.xml,results/PTP1B/05_plip_interaction_graphs/ged_input_files/PTP1B_19_final.txt,17,17,11,28,15,17,32,success,
PTP1B_20,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/02_template_guided_docking/complexes/PTP1B_20_complex.pdb,results/PTP1B/05_plip_interaction_graphs/plip_outputs/PTP1B_20,results/PTP1B/05_plip_interaction_graphs/plip_outputs/PTP1B_20/report.xml,results/PTP1B/05_plip_interaction_graphs/ged_input_files/PTP1B_20_final.txt,17,17,9,26,12,17,29,success,
PTP1B_21,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/02_template_guided_docking/complexes/PTP1B_21_complex.pdb,results/PTP1B/05_plip_interaction_graphs/plip_outputs/PTP1B_21,results/PTP1B/05_plip_interaction_graphs/plip_outputs/PTP1B_21/report.xml,results/PTP1B/05_plip_interaction_graphs/ged_input_files/PTP1B_21_final.txt,17,17,11,28,14,17,31,success,
PTP1B_22,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/02_template_guided_docking/complexes/PTP1B_22_complex.pdb,results/PTP1B/05_plip_interaction_graphs/plip_outputs/PTP1B_22,results/PTP1B/05_plip_interaction_graphs/plip_outputs/PTP1B_22/report.xml,results/PTP1B/05_plip_interaction_graphs/ged_input_files/PTP1B_22_final.txt,17,17,10,27,13,17,30,success,
PTP1B_23,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/02_template_guided_docking/complexes/PTP1B_23_complex.pdb,results/PTP1B/05_plip_interaction_graphs/plip_outputs/PTP1B_23,results/PTP1B/05_plip_interaction_graphs/plip_outputs/PTP1B_23/report.xml,results/PTP1B/05_plip_interaction_graphs/ged_input_files/PTP1B_23_final.txt,17,17,9,26,12,17,29,success,
PTP1B_24,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/02_template_guided_docking/complexes/PTP1B_24_complex.pdb,results/PTP1B/05_plip_interaction_graphs/plip_outputs/PTP1B_24,results/PTP1B/05_plip_interaction_graphs/plip_outputs/PTP1B_24/report.xml,results/PTP1B/05_plip_interaction_graphs/ged_input_files/PTP1B_24_final.txt,17,17,10,27,13,17,30,success,
PTP1B_25,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/02_template_guided_docking/complexes/PTP1B_25_complex.pdb,results/PTP1B/05_plip_interaction_graphs/plip_outputs/PTP1B_25,results/PTP1B/05_plip_interaction_graphs/plip_outputs/PTP1B_25/report.xml,results/PTP1B/05_plip_interaction_graphs/ged_input_files/PTP1B_25_final.txt,17,17,9,26,12,17,29,success,
PTP1B_26,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/02_template_guided_docking/complexes/PTP1B_26_complex.pdb,results/PTP1B/05_plip_interaction_graphs/plip_outputs/PTP1B_26,results/PTP1B/05_plip_interaction_graphs/plip_outputs/PTP1B_26/report.xml,results/PTP1B/05_plip_interaction_graphs/ged_input_files/PTP1B_26_final.txt,17,17,8,25,10,17,27,success,
PTP1B_27,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/02_template_guided_docking/complexes/PTP1B_27_complex.pdb,results/PTP1B/05_plip_interaction_graphs/plip_outputs/PTP1B_27,results/PTP1B/05_plip_interaction_graphs/plip_outputs/PTP1B_27/report.xml,results/PTP1B/05_plip_interaction_graphs/ged_input_files/PTP1B_27_final.txt,17,17,10,27,15,17,32,success,
PTP1B_28,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/02_template_guided_docking/complexes/PTP1B_28_complex.pdb,results/PTP1B/05_plip_interaction_graphs/plip_outputs/PTP1B_28,results/PTP1B/05_plip_interaction_graphs/plip_outputs/PTP1B_28/report.xml,results/PTP1B/05_plip_interaction_graphs/ged_input_files/PTP1B_28_final.txt,17,17,10,27,14,17,31,success,
PTP1B_29,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/02_template_guided_docking/complexes/PTP1B_29_complex.pdb,results/PTP1B/05_plip_interaction_graphs/plip_outputs/PTP1B_29,results/PTP1B/05_plip_interaction_graphs/plip_outputs/PTP1B_29/report.xml,results/PTP1B/05_plip_interaction_graphs/ged_input_files/PTP1B_29_final.txt,17,17,8,25,10,17,27,success,
PTP1B_30,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/02_template_guided_docking/complexes/PTP1B_30_complex.pdb,results/PTP1B/05_plip_interaction_graphs/plip_outputs/PTP1B_30,results/PTP1B/05_plip_interaction_graphs/plip_outputs/PTP1B_30/report.xml,results/PTP1B/05_plip_interaction_graphs/ged_input_files/PTP1B_30_final.txt,17,17,10,27,15,17,32,success,
PTP1B_31,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/02_template_guided_docking/complexes/PTP1B_31_complex.pdb,results/PTP1B/05_plip_interaction_graphs/plip_outputs/PTP1B_31,results/PTP1B/05_plip_interaction_graphs/plip_outputs/PTP1B_31/report.xml,results/PTP1B/05_plip_interaction_graphs/ged_input_files/PTP1B_31_final.txt,17,17,10,27,13,17,30,success,
PTP1B_32,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/02_template_guided_docking/complexes/PTP1B_32_complex.pdb,results/PTP1B/05_plip_interaction_graphs/plip_outputs/PTP1B_32,results/PTP1B/05_plip_interaction_graphs/plip_outputs/PTP1B_32/report.xml,results/PTP1B/05_plip_interaction_graphs/ged_input_files/PTP1B_32_final.txt,17,17,9,26,13,17,30,success,
PTP1B_33,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/02_template_guided_docking/complexes/PTP1B_33_complex.pdb,results/PTP1B/05_plip_interaction_graphs/plip_outputs/PTP1B_33,results/PTP1B/05_plip_interaction_graphs/plip_outputs/PTP1B_33/report.xml,results/PTP1B/05_plip_interaction_graphs/ged_input_files/PTP1B_33_final.txt,17,17,9,26,12,17,29,success,
PTP1B_34,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/02_template_guided_docking/complexes/PTP1B_34_complex.pdb,results/PTP1B/05_plip_interaction_graphs/plip_outputs/PTP1B_34,results/PTP1B/05_plip_interaction_graphs/plip_outputs/PTP1B_34/report.xml,results/PTP1B/05_plip_interaction_graphs/ged_input_files/PTP1B_34_final.txt,17,17,9,26,12,17,29,success,
PTP1B_35,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/02_template_guided_docking/complexes/PTP1B_35_complex.pdb,results/PTP1B/05_plip_interaction_graphs/plip_outputs/PTP1B_35,results/PTP1B/05_plip_interaction_graphs/plip_outputs/PTP1B_35/report.xml,results/PTP1B/05_plip_interaction_graphs/ged_input_files/PTP1B_35_final.txt,17,17,11,28,13,17,30,success,
PTP1B_37,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/02_template_guided_docking/complexes/PTP1B_37_complex.pdb,results/PTP1B/05_plip_interaction_graphs/plip_outputs/PTP1B_37,results/PTP1B/05_plip_interaction_graphs/plip_outputs/PTP1B_37/report.xml,results/PTP1B/05_plip_interaction_graphs/ged_input_files/PTP1B_37_final.txt,17,17,10,27,14,17,31,success,
PTP1B_38,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/02_template_guided_docking/complexes/PTP1B_38_complex.pdb,results/PTP1B/05_plip_interaction_graphs/plip_outputs/PTP1B_38,results/PTP1B/05_plip_interaction_graphs/plip_outputs/PTP1B_38/report.xml,results/PTP1B/05_plip_interaction_graphs/ged_input_files/PTP1B_38_final.txt,17,17,10,27,14,17,31,success,
PTP1B_39,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/02_template_guided_docking/complexes/PTP1B_39_complex.pdb,results/PTP1B/05_plip_interaction_graphs/plip_outputs/PTP1B_39,results/PTP1B/05_plip_interaction_graphs/plip_outputs/PTP1B_39/report.xml,results/PTP1B/05_plip_interaction_graphs/ged_input_files/PTP1B_39_final.txt,17,17,10,27,15,17,32,success,
PTP1B_40,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/02_template_guided_docking/complexes/PTP1B_40_complex.pdb,results/PTP1B/05_plip_interaction_graphs/plip_outputs/PTP1B_40,results/PTP1B/05_plip_interaction_graphs/plip_outputs/PTP1B_40/report.xml,results/PTP1B/05_plip_interaction_graphs/ged_input_files/PTP1B_40_final.txt,17,17,9,26,12,17,29,success,
PTP1B_41,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/02_template_guided_docking/complexes/PTP1B_41_complex.pdb,results/PTP1B/05_plip_interaction_graphs/plip_outputs/PTP1B_41,results/PTP1B/05_plip_interaction_graphs/plip_outputs/PTP1B_41/report.xml,results/PTP1B/05_plip_interaction_graphs/ged_input_files/PTP1B_41_final.txt,17,17,11,28,16,17,33,success,
PTP1B_42,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/02_template_guided_docking/complexes/PTP1B_42_complex.pdb,results/PTP1B/05_plip_interaction_graphs/plip_outputs/PTP1B_42,results/PTP1B/05_plip_interaction_graphs/plip_outputs/PTP1B_42/report.xml,results/PTP1B/05_plip_interaction_graphs/ged_input_files/PTP1B_42_final.txt,17,17,9,26,12,17,29,success,
PTP1B_43,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/02_template_guided_docking/complexes/PTP1B_43_complex.pdb,results/PTP1B/05_plip_interaction_graphs/plip_outputs/PTP1B_43,results/PTP1B/05_plip_interaction_graphs/plip_outputs/PTP1B_43/report.xml,results/PTP1B/05_plip_interaction_graphs/ged_input_files/PTP1B_43_final.txt,17,17,11,28,15,17,32,success,
PTP1B_44,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/02_template_guided_docking/complexes/PTP1B_44_complex.pdb,results/PTP1B/05_plip_interaction_graphs/plip_outputs/PTP1B_44,results/PTP1B/05_plip_interaction_graphs/plip_outputs/PTP1B_44/report.xml,results/PTP1B/05_plip_interaction_graphs/ged_input_files/PTP1B_44_final.txt,17,17,10,27,13,17,30,success,
